ID,CRI Rank,Country,CRI score,Fatalities in 2018 (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank)
1,125,Albania,108.0,102,87,124,124
2,109,Algeria,93.83,47,76,110,127
3,80,Angola,76.0,52,72,82,89
4,135,Antigua-and-Barbuda,125.0,115,115,135,135
5,40,Argentina,48.33,61,101,5,11
6,135,Armenia,125.0,115,115,135,135
7,43,Australia,49.5,62,86,11,26
8,49,Austria,56.0,88,89,20,25
9,135,Azerbaijan,125.0,115,115,135,135
10,135,Bahrain,125.0,115,115,135,135
11,98,Bangladesh,85.5,18,79,97,120
12,135,Barbados,125.0,115,115,135,135
13,130,Belarus,111.83,115,115,102,112
14,90,Belgium,81.83,102,112,39,63
15,135,Belize,125.0,115,115,135,135
16,101,Benin,88.0,77,77,109,94
17,135,Bhutan,125.0,115,115,135,135
18,59,Bolivia,63.5,71,66,62,58
19,129,Bosnia-and-Herzegovina,109.67,115,115,113,100
20,135,Botswana,125.0,115,115,135,135
21,91,Brazil,82.83,38,105,43,103
22,135,Brunei-Darussalam,125.0,115,115,135,135
23,116,Bulgaria,101.0,115,115,85,88
24,135,Burkina-Faso,125.0,115,115,135,135
25,25,Burundi,36.33,50,32,72,16
26,38,Cambodia,47.67,29,17,79,72
27,122,Cameroon,105.83,64,91,129,130
28,9,Canada,21.83,13,19,12,34
29,135,Cape-Verde,125.0,115,115,135,135
30,73,Central-African-Republic,71.17,77,51,116,66
31,135,Chad,125.0,115,115,135,135
32,87,Chile,81.17,115,115,36,53
33,33,China,45.17,5,94,4,37
34,75,Chinese-Taipei,72.33,53,65,55,98
35,53,Colombia,61.0,20,39,70,99
36,135,Comoros,125.0,115,115,135,135
37,96,Costa-Rica,84.67,93,82,87,82
38,106,Côte-d'Ivoire,89.5,46,55,125,128
39,126,Croatia,108.33,115,115,101,102
40,76,Cyprus,73.5,81,13,120,107
41,35,Czech-Republic,46.83,71,63,28,28
