,ID,Country_Name,CRI_RANK,CRI_SCORE,Fatalities_Rank,Fatalities_per_100000_inhabitants_RANK,Losses_in_US_Million_Rank,Losses_per_unit_GDP_Rank
1,1,Albania                                                     ,125,108.0,102,87,124,124
2,2,Algeria                                                     ,109,93.83,47,76,110,127
3,3,Angola                                                      ,80,76.0,52,72,82,89
4,4,Antigua and Barbuda                                         ,135,125.0,115,115,135,135
5,5,Argentina                                                   ,40,48.33,61,101,5,11
6,6,Armenia                                                     ,135,125.0,115,115,135,135
7,7,Australia                                                   ,43,49.5,62,86,11,26
8,8,Austria                                                     ,49,56.0,88,89,20,25
9,9,Azerbaijan                                                  ,135,125.0,115,115,135,135
10,10,Bahrain                                                     ,135,125.0,115,115,135,135
11,11,Bangladesh                                                  ,98,85.5,18,79,97,120
12,12,Barbados                                                    ,135,125.0,115,115,135,135
13,13,Belarus                                                     ,130,111.83,115,115,102,112
14,14,Belgium                                                     ,90,81.83,102,112,39,63
15,15,Belize                                                      ,135,125.0,115,115,135,135
16,16,Benin                                                       ,101,88.0,77,77,109,94
17,17,Bhutan                                                      ,135,125.0,115,115,135,135
18,18,Bolivia                                                     ,59,63.5,71,66,62,58
19,19,Bosnia and Herzegovina                                      ,129,109.67,115,115,113,100
20,20,Botswana                                                    ,135,125.0,115,115,135,135
21,21,Brazil                                                      ,91,82.83,38,105,43,103
22,22,Brunei Darussalam                                           ,135,125.0,115,115,135,135
23,23,Bulgaria                                                    ,116,101.0,115,115,85,88
24,24,Burkina Faso                                                ,135,125.0,115,115,135,135
25,25,Burundi                                                     ,25,36.33,50,32,72,16
26,26,Cambodia                                                    ,38,47.67,29,17,79,72
27,27,Cameroon                                                    ,122,105.83,64,91,129,130
28,28,Canada                                                      ,9,21.83,13,19,12,34
29,29,Cape Verde                                                  ,135,125.0,115,115,135,135
30,30,Central African Republic                                    ,73,71.17,77,51,116,66
31,31,Chad                                                        ,135,125.0,115,115,135,135
32,32,Chile                                                       ,87,81.17,115,115,36,53
33,33,China                                                       ,33,45.17,5,94,4,37
34,34,Chinese Taipei                                              ,75,72.33,53,65,55,98
35,35,Colombia                                                    ,53,61.0,20,39,70,99
36,36,Comoros                                                     ,135,125.0,115,115,135,135
37,37,Costa Rica                                                  ,96,84.67,93,82,87,82
38,38,C��te d'Ivoire                                          ,106,89.5,46,55,125,128
39,39,Croatia                                                     ,126,108.33,115,115,101,102
